activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,12)",0.01,0.851,0.866,0.839,0.853,0.71,0.852,0.515,0.5,0.522,0.392,0.023,0.511,0.5,0.5,0.5,0.381,0.0,0.5
relu,"(25,12)",0.001,0.932,0.906,0.96,0.931,0.867,0.933,0.562,0.375,0.644,0.341,0.018,0.51,0.538,0.375,0.611,0.333,-0.013,0.493
relu,"(25,12)",0.0001,0.906,0.892,0.919,0.905,0.812,0.906,0.569,0.3,0.689,0.3,-0.011,0.494,0.538,0.25,0.667,0.25,-0.083,0.458
relu,"(50,25)",0.1,0.844,0.784,0.907,0.831,0.701,0.845,0.6,0.475,0.656,0.417,0.123,0.565,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(50,25)",0.01,0.851,0.892,0.811,0.861,0.712,0.852,0.554,0.575,0.544,0.44,0.112,0.56,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(50,25)",0.001,0.892,0.878,0.906,0.89,0.785,0.892,0.631,0.275,0.789,0.313,0.072,0.532,0.654,0.25,0.833,0.308,0.098,0.542
relu,"(50,25)",0.0001,0.919,0.892,0.947,0.918,0.842,0.92,0.654,0.175,0.867,0.236,0.054,0.521,0.615,0.125,0.833,0.167,-0.053,0.479
relu,"(75,37)",0.1,0.65,0.593,0.706,0.563,0.33,0.65,0.546,0.425,0.6,0.294,0.02,0.512,0.308,0.875,0.056,0.438,-0.12,0.465
relu,"(75,37)",0.01,0.851,0.879,0.824,0.856,0.71,0.851,0.562,0.55,0.567,0.433,0.109,0.558,0.654,0.5,0.722,0.471,0.216,0.611
relu,"(75,37)",0.001,0.892,0.892,0.893,0.892,0.787,0.893,0.608,0.625,0.6,0.496,0.209,0.612,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(75,37)",0.0001,0.892,0.879,0.907,0.891,0.787,0.893,0.638,0.05,0.9,0.073,-0.096,0.475,0.615,0.0,0.889,0.0,-0.192,0.444
relu,"(100,50)",0.1,0.547,0.893,0.2,0.661,0.11,0.547,0.369,0.875,0.144,0.451,0.019,0.51,0.308,1.0,0.0,0.471,0.0,0.5
relu,"(100,50)",0.01,0.817,0.919,0.716,0.837,0.652,0.818,0.492,0.45,0.511,0.347,-0.038,0.481,0.5,0.5,0.5,0.381,0.0,0.5
relu,"(100,50)",0.001,0.872,0.919,0.825,0.879,0.75,0.872,0.615,0.525,0.656,0.454,0.171,0.59,0.615,0.375,0.722,0.375,0.097,0.549
relu,"(100,50)",0.0001,0.879,0.906,0.851,0.884,0.762,0.879,0.623,0.725,0.578,0.54,0.281,0.651,0.615,0.75,0.556,0.545,0.283,0.653
relu,"(125,62)",0.1,0.466,0.533,0.4,0.366,-0.088,0.467,0.462,0.575,0.411,0.279,-0.031,0.493,0.308,1.0,0.0,0.471,0.0,0.5
relu,"(125,62)",0.01,0.784,0.892,0.676,0.807,0.596,0.784,0.585,0.475,0.633,0.405,0.1,0.554,0.5,0.375,0.556,0.316,-0.065,0.465
relu,"(125,62)",0.001,0.811,0.891,0.73,0.824,0.63,0.81,0.608,0.3,0.744,0.318,0.045,0.522,0.615,0.25,0.778,0.286,0.03,0.514
relu,"(125,62)",0.0001,0.838,0.906,0.77,0.848,0.683,0.838,0.462,0.6,0.4,0.407,-0.001,0.5,0.462,0.5,0.444,0.364,-0.051,0.472
relu,"(150,75)",0.1,0.507,1.0,0.013,0.67,0.037,0.507,0.308,0.975,0.011,0.464,-0.033,0.493,0.308,1.0,0.0,0.471,0.0,0.5
relu,"(150,75)",0.01,0.898,0.892,0.905,0.898,0.799,0.899,0.554,0.425,0.611,0.372,0.035,0.518,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(150,75)",0.001,0.878,0.892,0.865,0.881,0.76,0.879,0.508,0.375,0.567,0.32,-0.054,0.471,0.5,0.375,0.556,0.316,-0.065,0.465
relu,"(150,75)",0.0001,0.919,0.866,0.973,0.914,0.845,0.92,0.723,0.125,0.989,0.218,0.264,0.557,0.731,0.125,1.0,0.222,0.3,0.562
relu,"(175,87)",0.1,0.5,0.8,0.2,0.533,0.0,0.5,0.377,0.775,0.2,0.367,-0.06,0.488,0.308,1.0,0.0,0.471,0.0,0.5
relu,"(175,87)",0.01,0.818,0.906,0.731,0.835,0.649,0.819,0.546,0.45,0.589,0.379,0.037,0.519,0.462,0.375,0.5,0.3,-0.116,0.438
relu,"(175,87)",0.001,0.852,0.879,0.826,0.856,0.709,0.852,0.585,0.25,0.733,0.272,-0.014,0.492,0.615,0.25,0.778,0.286,0.03,0.514
relu,"(175,87)",0.0001,0.845,0.892,0.797,0.853,0.694,0.845,0.562,0.7,0.5,0.493,0.188,0.6,0.538,0.625,0.5,0.455,0.116,0.562
relu,"(200,100)",0.1,0.5,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
relu,"(200,100)",0.01,0.825,0.946,0.702,0.845,0.673,0.824,0.546,0.4,0.611,0.345,0.01,0.506,0.538,0.25,0.667,0.25,-0.083,0.458
relu,"(200,100)",0.001,0.844,0.864,0.824,0.847,0.693,0.844,0.577,0.1,0.789,0.127,-0.13,0.444,0.615,0.125,0.833,0.167,-0.053,0.479
relu,"(200,100)",0.0001,0.885,0.919,0.85,0.89,0.774,0.885,0.423,0.375,0.444,0.286,-0.167,0.41,0.423,0.375,0.444,0.286,-0.167,0.41
relu,"(225,112)",0.1,0.5,0.8,0.2,0.533,0.0,0.5,0.377,0.775,0.2,0.367,-0.06,0.488,0.308,1.0,0.0,0.471,0.0,0.5
relu,"(225,112)",0.01,0.898,0.892,0.906,0.898,0.8,0.899,0.569,0.475,0.611,0.405,0.082,0.543,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(225,112)",0.001,0.892,0.906,0.879,0.894,0.787,0.892,0.577,0.775,0.489,0.531,0.249,0.632,0.577,0.875,0.444,0.56,0.31,0.66
relu,"(225,112)",0.0001,0.926,0.879,0.973,0.922,0.858,0.926,0.623,0.125,0.844,0.17,-0.039,0.485,0.615,0.125,0.833,0.167,-0.053,0.479
relu,"(250,125)",0.1,0.534,0.484,0.587,0.401,0.132,0.535,0.546,0.525,0.556,0.366,0.131,0.54,0.308,1.0,0.0,0.471,0.0,0.5
relu,"(250,125)",0.01,0.81,0.879,0.742,0.823,0.631,0.81,0.546,0.45,0.589,0.379,0.037,0.519,0.5,0.375,0.556,0.316,-0.065,0.465
relu,"(250,125)",0.001,0.811,0.85,0.771,0.818,0.627,0.811,0.646,0.25,0.822,0.303,0.087,0.536,0.654,0.25,0.833,0.308,0.098,0.542
relu,"(250,125)",0.0001,0.845,0.892,0.797,0.853,0.7,0.845,0.546,0.425,0.6,0.365,0.024,0.512,0.577,0.375,0.667,0.353,0.04,0.521
relu,"(275,137)",0.1,0.798,0.866,0.73,0.81,0.605,0.798,0.538,0.45,0.578,0.373,0.027,0.514,0.538,0.375,0.611,0.333,-0.013,0.493
