activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(225,45)",0.0001,0.682,0.367,0.81,0.377,0.187,0.589,0.615,0.25,0.778,0.287,0.034,0.514,0.615,0.25,0.778,0.286,0.03,0.514
relu,"(250,50)",0.1,0.702,0.233,0.893,0.229,0.127,0.563,0.662,0.25,0.844,0.249,0.095,0.547,0.769,0.25,1.0,0.4,0.433,0.625
relu,"(250,50)",0.01,0.567,0.333,0.663,0.293,-0.009,0.498,0.631,0.45,0.711,0.439,0.185,0.581,0.5,0.5,0.5,0.381,0.0,0.5
relu,"(250,50)",0.001,0.691,0.467,0.782,0.449,0.253,0.624,0.685,0.4,0.811,0.435,0.225,0.606,0.692,0.375,0.833,0.429,0.228,0.604
relu,"(250,50)",0.0001,0.72,0.367,0.865,0.413,0.252,0.616,0.677,0.25,0.867,0.324,0.15,0.558,0.692,0.25,0.889,0.333,0.178,0.569
relu,"(275,55)",0.1,0.682,0.067,0.931,0.084,-0.002,0.499,0.685,0.25,0.878,0.307,0.157,0.564,0.692,0.0,1.0,0.0,0.0,0.5
relu,"(275,55)",0.01,0.662,0.467,0.741,0.432,0.235,0.604,0.615,0.35,0.733,0.362,0.099,0.542,0.692,0.25,0.889,0.333,0.178,0.569
relu,"(275,55)",0.001,0.711,0.533,0.784,0.517,0.342,0.659,0.685,0.3,0.856,0.376,0.214,0.578,0.692,0.375,0.833,0.429,0.228,0.604
relu,"(275,55)",0.0001,0.721,0.433,0.839,0.437,0.284,0.636,0.785,0.45,0.933,0.56,0.457,0.692,0.808,0.5,0.944,0.615,0.52,0.722
relu,"(300,60)",0.1,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
relu,"(300,60)",0.01,0.577,0.533,0.596,0.402,0.116,0.565,0.623,0.4,0.722,0.389,0.135,0.561,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(300,60)",0.001,0.664,0.6,0.69,0.48,0.267,0.645,0.738,0.175,0.989,0.269,0.288,0.582,0.692,0.0,1.0,0.0,0.0,0.5
relu,"(300,60)",0.0001,0.614,0.633,0.606,0.491,0.222,0.62,0.546,0.525,0.556,0.416,0.075,0.54,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(25,12)",0.1,0.597,0.433,0.667,0.272,0.086,0.55,0.615,0.375,0.722,0.351,0.12,0.549,0.692,0.0,1.0,0.0,0.0,0.5
relu,"(25,12)",0.01,0.653,0.467,0.728,0.447,0.204,0.597,0.631,0.4,0.733,0.401,0.138,0.567,0.615,0.25,0.778,0.286,0.03,0.514
relu,"(25,12)",0.001,0.682,0.533,0.742,0.477,0.271,0.638,0.631,0.325,0.767,0.35,0.099,0.546,0.654,0.25,0.833,0.308,0.098,0.542
