activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(75,15)",0.001,0.813,0.367,0.927,0.436,0.358,0.647,0.808,0.564,0.871,0.551,0.43,0.718,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(75,15)",0.0001,0.823,0.367,0.939,0.445,0.39,0.653,0.842,0.564,0.914,0.596,0.501,0.739,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(100,20)",0.1,0.799,0.467,0.886,0.486,0.365,0.676,0.766,0.527,0.829,0.48,0.334,0.678,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(100,20)",0.01,0.804,0.397,0.909,0.454,0.351,0.653,0.804,0.618,0.852,0.568,0.445,0.735,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(100,20)",0.001,0.804,0.325,0.927,0.408,0.329,0.626,0.815,0.564,0.881,0.557,0.441,0.722,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(100,20)",0.0001,0.799,0.3,0.927,0.368,0.298,0.614,0.823,0.564,0.89,0.565,0.456,0.727,0.792,0.636,0.833,0.56,0.432,0.735
relu,"(125,25)",0.1,0.766,0.389,0.861,0.388,0.248,0.625,0.755,0.527,0.814,0.471,0.321,0.671,0.755,0.273,0.881,0.316,0.174,0.577
relu,"(125,25)",0.01,0.761,0.306,0.88,0.337,0.202,0.593,0.808,0.527,0.881,0.53,0.411,0.704,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(125,25)",0.001,0.775,0.233,0.915,0.29,0.188,0.574,0.815,0.491,0.9,0.523,0.411,0.695,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(125,25)",0.0001,0.78,0.258,0.915,0.315,0.213,0.587,0.796,0.455,0.886,0.481,0.357,0.67,0.774,0.455,0.857,0.455,0.312,0.656
relu,"(150,30)",0.1,0.761,0.419,0.849,0.417,0.275,0.634,0.755,0.564,0.805,0.49,0.339,0.684,0.717,0.0,0.905,0.0,-0.146,0.452
relu,"(150,30)",0.01,0.785,0.369,0.892,0.415,0.296,0.631,0.8,0.545,0.867,0.532,0.406,0.706,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(150,30)",0.001,0.794,0.35,0.909,0.404,0.295,0.63,0.823,0.564,0.89,0.567,0.457,0.727,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(150,30)",0.0001,0.809,0.372,0.921,0.446,0.354,0.647,0.826,0.6,0.886,0.588,0.48,0.743,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(175,35)",0.1,0.794,0.436,0.885,0.461,0.34,0.661,0.804,0.618,0.852,0.565,0.444,0.735,0.755,0.273,0.881,0.316,0.174,0.577
relu,"(175,35)",0.01,0.804,0.369,0.915,0.435,0.353,0.642,0.781,0.509,0.852,0.489,0.352,0.681,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(175,35)",0.001,0.804,0.372,0.916,0.439,0.352,0.644,0.789,0.473,0.871,0.479,0.347,0.672,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(175,35)",0.0001,0.809,0.347,0.928,0.419,0.332,0.637,0.808,0.473,0.895,0.504,0.389,0.684,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(200,40)",0.1,0.746,0.342,0.849,0.349,0.194,0.595,0.762,0.527,0.824,0.48,0.334,0.676,0.755,0.364,0.857,0.381,0.229,0.61
relu,"(200,40)",0.01,0.799,0.35,0.916,0.411,0.321,0.633,0.785,0.545,0.848,0.512,0.377,0.697,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(200,40)",0.001,0.809,0.372,0.922,0.435,0.342,0.647,0.804,0.564,0.867,0.542,0.419,0.715,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(200,40)",0.0001,0.818,0.369,0.934,0.448,0.369,0.651,0.819,0.6,0.876,0.578,0.464,0.738,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(225,45)",0.1,0.756,0.372,0.855,0.389,0.241,0.614,0.777,0.527,0.843,0.498,0.359,0.685,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(225,45)",0.01,0.785,0.372,0.892,0.412,0.293,0.632,0.774,0.545,0.833,0.499,0.358,0.689,0.755,0.545,0.81,0.48,0.327,0.677
relu,"(225,45)",0.001,0.813,0.353,0.934,0.434,0.347,0.643,0.8,0.509,0.876,0.513,0.388,0.693,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(225,45)",0.0001,0.828,0.372,0.946,0.456,0.39,0.659,0.808,0.527,0.881,0.532,0.413,0.704,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(250,50)",0.1,0.756,0.297,0.873,0.323,0.191,0.585,0.781,0.491,0.857,0.479,0.346,0.674,0.755,0.273,0.881,0.316,0.174,0.577
relu,"(250,50)",0.01,0.809,0.417,0.909,0.467,0.372,0.663,0.796,0.527,0.867,0.518,0.39,0.697,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(250,50)",0.001,0.814,0.369,0.927,0.446,0.375,0.648,0.808,0.509,0.886,0.525,0.407,0.697,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(250,50)",0.0001,0.809,0.347,0.927,0.424,0.332,0.637,0.823,0.545,0.895,0.556,0.453,0.72,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(275,55)",0.1,0.785,0.439,0.873,0.459,0.348,0.656,0.823,0.618,0.876,0.59,0.48,0.747,0.755,0.636,0.786,0.519,0.373,0.711
relu,"(275,55)",0.01,0.785,0.328,0.904,0.385,0.281,0.616,0.774,0.491,0.848,0.475,0.331,0.669,0.755,0.364,0.857,0.381,0.229,0.61
relu,"(275,55)",0.001,0.809,0.325,0.934,0.408,0.329,0.629,0.819,0.509,0.9,0.538,0.428,0.705,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(275,55)",0.0001,0.804,0.325,0.927,0.404,0.317,0.626,0.819,0.545,0.89,0.555,0.444,0.718,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(300,60)",0.1,0.785,0.467,0.867,0.463,0.333,0.667,0.774,0.582,0.824,0.515,0.375,0.703,0.717,0.818,0.69,0.545,0.419,0.754
relu,"(300,60)",0.01,0.795,0.35,0.91,0.415,0.319,0.63,0.77,0.509,0.838,0.48,0.335,0.674,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(300,60)",0.001,0.814,0.35,0.934,0.433,0.351,0.642,0.8,0.491,0.881,0.502,0.379,0.686,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(300,60)",0.0001,0.814,0.3,0.946,0.389,0.335,0.623,0.815,0.509,0.895,0.533,0.423,0.702,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(25,12)",0.1,0.765,0.369,0.867,0.379,0.238,0.618,0.781,0.545,0.843,0.504,0.371,0.694,0.66,0.818,0.619,0.5,0.355,0.719
relu,"(25,12)",0.01,0.775,0.328,0.891,0.367,0.239,0.61,0.8,0.582,0.857,0.543,0.42,0.719,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(25,12)",0.001,0.785,0.3,0.909,0.353,0.241,0.605,0.8,0.545,0.867,0.527,0.402,0.706,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(25,12)",0.0001,0.775,0.253,0.909,0.313,0.203,0.581,0.845,0.545,0.924,0.592,0.503,0.735,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(50,25)",0.1,0.756,0.386,0.849,0.374,0.233,0.618,0.758,0.491,0.829,0.454,0.303,0.66,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(50,25)",0.01,0.775,0.328,0.892,0.366,0.249,0.61,0.781,0.455,0.867,0.464,0.328,0.661,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(50,25)",0.001,0.79,0.281,0.921,0.35,0.259,0.601,0.8,0.509,0.876,0.514,0.389,0.693,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(50,25)",0.0001,0.804,0.281,0.94,0.372,0.302,0.61,0.815,0.564,0.881,0.56,0.446,0.722,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(75,37)",0.1,0.78,0.325,0.898,0.378,0.255,0.611,0.789,0.582,0.843,0.529,0.399,0.712,0.792,0.182,0.952,0.267,0.206,0.567
relu,"(75,37)",0.01,0.804,0.417,0.903,0.467,0.368,0.66,0.796,0.564,0.857,0.538,0.413,0.71,0.887,0.727,0.929,0.727,0.656,0.828
relu,"(75,37)",0.001,0.804,0.394,0.909,0.449,0.348,0.652,0.811,0.582,0.871,0.559,0.44,0.727,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(75,37)",0.0001,0.804,0.35,0.921,0.422,0.329,0.636,0.811,0.564,0.876,0.552,0.434,0.72,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(100,50)",0.1,0.727,0.303,0.837,0.308,0.142,0.57,0.77,0.564,0.824,0.497,0.357,0.694,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(100,50)",0.01,0.79,0.372,0.897,0.426,0.319,0.635,0.792,0.527,0.862,0.51,0.382,0.695,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(100,50)",0.001,0.809,0.372,0.921,0.453,0.383,0.647,0.804,0.545,0.871,0.535,0.415,0.708,0.849,0.636,0.905,0.636,0.541,0.771
relu,"(100,50)",0.0001,0.818,0.347,0.939,0.437,0.372,0.643,0.804,0.564,0.867,0.542,0.419,0.715,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(125,62)",0.1,0.761,0.397,0.855,0.407,0.262,0.626,0.77,0.545,0.829,0.496,0.353,0.687,0.717,0.273,0.833,0.286,0.11,0.553
relu,"(125,62)",0.01,0.771,0.328,0.886,0.359,0.229,0.607,0.789,0.509,0.862,0.499,0.367,0.685,0.698,0.455,0.762,0.385,0.195,0.608
relu,"(125,62)",0.001,0.79,0.328,0.909,0.378,0.27,0.619,0.83,0.509,0.914,0.555,0.454,0.712,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(125,62)",0.0001,0.804,0.303,0.933,0.379,0.31,0.618,0.83,0.509,0.914,0.556,0.456,0.712,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(150,75)",0.1,0.761,0.417,0.85,0.422,0.282,0.633,0.747,0.473,0.819,0.436,0.276,0.646,0.792,1.0,0.738,0.667,0.607,0.869
relu,"(150,75)",0.01,0.78,0.3,0.904,0.345,0.239,0.602,0.808,0.582,0.867,0.551,0.431,0.724,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(150,75)",0.001,0.809,0.325,0.934,0.411,0.342,0.629,0.823,0.527,0.9,0.548,0.441,0.714,0.849,0.727,0.881,0.667,0.573,0.804
