activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(250,50)",0.001,0.929,0.967,0.892,0.932,0.861,0.929,0.668,0.253,0.8,0.268,0.056,0.526,0.646,0.158,0.8,0.176,-0.046,0.479
relu,"(250,50)",0.0001,0.929,0.971,0.888,0.932,0.862,0.929,0.671,0.242,0.807,0.26,0.051,0.524,0.646,0.211,0.783,0.222,-0.006,0.497
relu,"(275,55)",0.1,0.896,0.95,0.842,0.901,0.797,0.896,0.658,0.453,0.723,0.39,0.162,0.588,0.62,0.316,0.717,0.286,0.031,0.516
relu,"(275,55)",0.01,0.923,0.967,0.879,0.926,0.849,0.923,0.678,0.421,0.76,0.387,0.173,0.591,0.684,0.474,0.75,0.419,0.208,0.612
relu,"(275,55)",0.001,0.929,0.971,0.888,0.932,0.862,0.929,0.678,0.337,0.787,0.336,0.124,0.562,0.684,0.316,0.8,0.324,0.118,0.558
relu,"(275,55)",0.0001,0.931,0.975,0.888,0.934,0.866,0.931,0.684,0.326,0.797,0.332,0.125,0.561,0.684,0.316,0.8,0.324,0.118,0.558
relu,"(300,60)",0.1,0.894,0.954,0.833,0.9,0.795,0.894,0.643,0.411,0.717,0.356,0.118,0.564,0.658,0.421,0.733,0.372,0.143,0.577
relu,"(300,60)",0.01,0.917,0.971,0.862,0.921,0.839,0.917,0.658,0.389,0.743,0.35,0.124,0.566,0.658,0.474,0.717,0.4,0.173,0.595
relu,"(300,60)",0.001,0.925,0.967,0.883,0.928,0.853,0.925,0.678,0.368,0.777,0.355,0.142,0.573,0.684,0.368,0.783,0.359,0.149,0.576
relu,"(300,60)",0.0001,0.929,0.967,0.892,0.932,0.861,0.929,0.689,0.337,0.8,0.342,0.139,0.568,0.684,0.316,0.8,0.324,0.118,0.558
relu,"(25,12)",0.1,0.885,0.946,0.825,0.892,0.777,0.885,0.676,0.474,0.74,0.414,0.2,0.607,0.684,0.421,0.767,0.39,0.179,0.594
relu,"(25,12)",0.01,0.894,0.962,0.825,0.9,0.796,0.894,0.709,0.505,0.773,0.455,0.262,0.639,0.722,0.474,0.8,0.45,0.265,0.637
relu,"(25,12)",0.001,0.888,0.971,0.804,0.896,0.786,0.888,0.701,0.516,0.76,0.453,0.256,0.638,0.722,0.474,0.8,0.45,0.265,0.637
relu,"(25,12)",0.0001,0.89,0.971,0.808,0.898,0.79,0.89,0.691,0.484,0.757,0.429,0.225,0.62,0.709,0.474,0.783,0.439,0.245,0.629
