activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(125,62)",0.001,0.794,0.275,0.928,0.333,0.247,0.601,0.838,0.6,0.9,0.601,0.502,0.75,0.849,0.636,0.905,0.636,0.541,0.771
relu,"(125,62)",0.0001,0.808,0.275,0.946,0.349,0.284,0.61,0.83,0.545,0.905,0.569,0.465,0.725,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(150,75)",0.1,0.747,0.372,0.843,0.361,0.209,0.608,0.83,0.618,0.886,0.59,0.49,0.752,0.736,0.636,0.762,0.5,0.346,0.699
relu,"(150,75)",0.01,0.785,0.436,0.873,0.445,0.326,0.655,0.842,0.764,0.862,0.667,0.577,0.813,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(150,75)",0.001,0.794,0.275,0.927,0.348,0.256,0.601,0.86,0.655,0.914,0.655,0.574,0.784,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(150,75)",0.0001,0.799,0.275,0.934,0.35,0.263,0.604,0.849,0.545,0.929,0.593,0.514,0.737,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(175,87)",0.1,0.727,0.3,0.837,0.304,0.14,0.569,0.819,0.636,0.867,0.59,0.48,0.752,0.698,0.636,0.714,0.467,0.297,0.675
relu,"(175,87)",0.01,0.775,0.436,0.861,0.436,0.306,0.649,0.83,0.727,0.857,0.631,0.539,0.792,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(175,87)",0.001,0.813,0.344,0.934,0.422,0.343,0.639,0.838,0.636,0.89,0.613,0.518,0.763,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(175,87)",0.0001,0.785,0.278,0.916,0.336,0.233,0.597,0.811,0.545,0.881,0.542,0.428,0.713,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(200,100)",0.1,0.775,0.208,0.921,0.208,0.131,0.565,0.785,0.345,0.9,0.326,0.264,0.623,0.811,0.091,1.0,0.167,0.271,0.545
relu,"(200,100)",0.01,0.766,0.392,0.861,0.402,0.266,0.626,0.826,0.745,0.848,0.633,0.539,0.797,0.811,0.818,0.81,0.643,0.545,0.814
relu,"(200,100)",0.001,0.813,0.322,0.94,0.403,0.329,0.631,0.834,0.618,0.89,0.599,0.502,0.754,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(200,100)",0.0001,0.804,0.256,0.946,0.341,0.271,0.601,0.849,0.6,0.914,0.614,0.529,0.757,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(225,112)",0.1,0.713,0.3,0.819,0.303,0.127,0.559,0.792,0.6,0.843,0.542,0.418,0.721,0.736,0.818,0.714,0.562,0.441,0.766
relu,"(225,112)",0.01,0.775,0.483,0.849,0.455,0.324,0.666,0.842,0.818,0.848,0.681,0.6,0.833,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(225,112)",0.001,0.79,0.3,0.916,0.359,0.255,0.608,0.826,0.618,0.881,0.589,0.485,0.75,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(225,112)",0.0001,0.804,0.3,0.934,0.379,0.294,0.617,0.826,0.564,0.895,0.566,0.464,0.729,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(250,125)",0.1,0.751,0.344,0.855,0.357,0.213,0.6,0.815,0.618,0.867,0.573,0.469,0.742,0.774,0.0,0.976,0.0,-0.071,0.488
relu,"(250,125)",0.01,0.766,0.392,0.861,0.404,0.274,0.626,0.83,0.745,0.852,0.64,0.545,0.799,0.755,0.455,0.833,0.435,0.279,0.644
relu,"(250,125)",0.001,0.809,0.278,0.945,0.357,0.292,0.612,0.838,0.618,0.895,0.606,0.511,0.757,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(250,125)",0.0001,0.813,0.278,0.952,0.356,0.289,0.615,0.834,0.545,0.91,0.575,0.483,0.727,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(275,137)",0.1,0.733,0.4,0.819,0.378,0.218,0.609,0.819,0.727,0.843,0.618,0.518,0.785,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(275,137)",0.01,0.751,0.344,0.855,0.358,0.213,0.6,0.826,0.818,0.829,0.661,0.571,0.823,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(275,137)",0.001,0.785,0.322,0.903,0.372,0.257,0.613,0.845,0.709,0.881,0.65,0.561,0.795,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(275,137)",0.0001,0.789,0.3,0.916,0.356,0.251,0.608,0.853,0.691,0.895,0.657,0.573,0.793,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(300,150)",0.1,0.756,0.181,0.903,0.213,0.102,0.542,0.8,0.455,0.89,0.446,0.368,0.673,0.755,0.182,0.905,0.235,0.111,0.543
relu,"(300,150)",0.01,0.794,0.436,0.885,0.455,0.344,0.661,0.83,0.8,0.838,0.659,0.569,0.819,0.868,1.0,0.833,0.759,0.714,0.917
relu,"(300,150)",0.001,0.785,0.253,0.922,0.303,0.208,0.587,0.838,0.636,0.89,0.619,0.52,0.763,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(300,150)",0.0001,0.79,0.231,0.934,0.298,0.215,0.582,0.838,0.582,0.905,0.597,0.498,0.743,0.887,0.727,0.929,0.727,0.656,0.828
relu,"(25,25)",0.1,0.747,0.419,0.831,0.389,0.244,0.625,0.849,0.8,0.862,0.687,0.601,0.831,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(25,25)",0.01,0.77,0.392,0.867,0.407,0.268,0.63,0.838,0.764,0.857,0.654,0.568,0.81,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(25,25)",0.001,0.78,0.3,0.903,0.356,0.24,0.602,0.883,0.764,0.914,0.731,0.661,0.839,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(25,25)",0.0001,0.775,0.208,0.922,0.263,0.155,0.565,0.868,0.691,0.914,0.686,0.605,0.803,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(50,50)",0.1,0.737,0.397,0.825,0.381,0.217,0.611,0.826,0.8,0.833,0.654,0.563,0.817,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(50,50)",0.01,0.775,0.392,0.873,0.412,0.277,0.632,0.838,0.782,0.852,0.657,0.571,0.817,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(50,50)",0.001,0.78,0.322,0.897,0.375,0.261,0.61,0.845,0.655,0.895,0.634,0.541,0.775,0.868,0.818,0.881,0.72,0.643,0.85
