activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(175,87)",0.1,0.728,0.161,0.874,0.163,0.031,0.517,0.732,0.218,0.867,0.223,0.089,0.542,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(175,87)",0.01,0.766,0.375,0.868,0.39,0.261,0.621,0.781,0.382,0.886,0.418,0.288,0.634,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(175,87)",0.001,0.818,0.328,0.946,0.419,0.353,0.637,0.808,0.345,0.929,0.425,0.332,0.637,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(175,87)",0.0001,0.823,0.328,0.952,0.425,0.365,0.64,0.808,0.345,0.929,0.425,0.333,0.637,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(200,100)",0.1,0.727,0.356,0.826,0.31,0.175,0.591,0.747,0.345,0.852,0.317,0.187,0.599,0.811,0.182,0.976,0.286,0.277,0.579
relu,"(200,100)",0.01,0.761,0.328,0.874,0.365,0.23,0.601,0.762,0.309,0.881,0.351,0.213,0.595,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(200,100)",0.001,0.77,0.258,0.904,0.314,0.203,0.581,0.796,0.309,0.924,0.384,0.284,0.616,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(200,100)",0.0001,0.79,0.258,0.928,0.334,0.251,0.593,0.804,0.309,0.933,0.393,0.304,0.621,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(225,112)",0.1,0.713,0.133,0.861,0.103,-0.016,0.497,0.758,0.145,0.919,0.155,0.099,0.532,0.755,0.0,0.952,0.0,-0.101,0.476
relu,"(225,112)",0.01,0.761,0.303,0.88,0.335,0.203,0.591,0.789,0.4,0.89,0.441,0.319,0.645,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(225,112)",0.001,0.818,0.303,0.952,0.404,0.346,0.627,0.823,0.382,0.938,0.472,0.39,0.66,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(225,112)",0.0001,0.818,0.256,0.964,0.367,0.33,0.61,0.826,0.364,0.948,0.463,0.391,0.656,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(250,125)",0.1,0.737,0.464,0.807,0.406,0.246,0.636,0.728,0.4,0.814,0.377,0.208,0.607,0.774,0.273,0.905,0.333,0.213,0.589
relu,"(250,125)",0.01,0.742,0.258,0.868,0.289,0.145,0.563,0.77,0.327,0.886,0.365,0.232,0.606,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(250,125)",0.001,0.799,0.328,0.922,0.402,0.309,0.625,0.804,0.291,0.938,0.375,0.293,0.615,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(250,125)",0.0001,0.809,0.35,0.928,0.428,0.342,0.639,0.808,0.291,0.943,0.381,0.306,0.617,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(275,137)",0.1,0.708,0.261,0.825,0.261,0.084,0.543,0.732,0.309,0.843,0.327,0.163,0.576,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(275,137)",0.01,0.746,0.331,0.856,0.339,0.194,0.593,0.77,0.364,0.876,0.394,0.256,0.62,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(275,137)",0.001,0.799,0.306,0.928,0.384,0.298,0.617,0.8,0.309,0.929,0.388,0.293,0.619,0.774,0.273,0.905,0.333,0.213,0.589
relu,"(275,137)",0.0001,0.794,0.256,0.934,0.339,0.26,0.595,0.808,0.309,0.938,0.392,0.31,0.624,0.792,0.273,0.929,0.353,0.258,0.601
relu,"(300,150)",0.1,0.756,0.114,0.921,0.134,0.052,0.518,0.789,0.2,0.943,0.234,0.164,0.571,0.811,0.091,1.0,0.167,0.271,0.545
relu,"(300,150)",0.01,0.756,0.331,0.868,0.351,0.213,0.599,0.777,0.364,0.886,0.404,0.272,0.625,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(300,150)",0.001,0.775,0.258,0.91,0.306,0.212,0.584,0.8,0.327,0.924,0.407,0.308,0.626,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(300,150)",0.0001,0.794,0.281,0.928,0.343,0.262,0.604,0.796,0.327,0.919,0.398,0.293,0.623,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(25,25)",0.1,0.718,0.419,0.796,0.366,0.196,0.608,0.713,0.273,0.829,0.28,0.104,0.551,0.755,0.364,0.857,0.381,0.229,0.61
