Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,10,2,0.01,2,-8.9,11.0,0.6,0.786,0.343,0.921,0.411,0.319,0.632,0.734,0.316,0.867,0.362,0.205,0.591,0.747,0.368,0.867,0.412,0.256,0.618
poly,10,2,0.01,3,-10.0,13.0,0.8,0.795,0.33,0.938,0.402,0.33,0.634,0.732,0.263,0.88,0.319,0.175,0.572,0.734,0.316,0.867,0.364,0.204,0.591
poly,10,2,0.01,4,-10.7,14.2,0.4,0.779,0.41,0.892,0.45,0.325,0.651,0.714,0.347,0.83,0.366,0.185,0.589,0.722,0.368,0.833,0.389,0.21,0.601
poly,10,2,0.001,0,-1.0,0.4,-0.5,0.796,0.15,0.992,0.254,0.307,0.571,0.785,0.105,1.0,0.19,0.286,0.553,0.785,0.105,1.0,0.19,0.286,0.553
poly,10,2,0.001,1,-3.2,3.5,1.3,0.799,0.165,0.992,0.263,0.316,0.578,0.759,0.032,0.99,0.059,0.075,0.511,0.772,0.053,1.0,0.1,0.201,0.526
poly,10,2,0.001,2,-4.7,4.3,0.7,0.786,0.261,0.946,0.343,0.279,0.603,0.762,0.221,0.933,0.308,0.216,0.577,0.722,0.158,0.9,0.214,0.078,0.529
poly,10,2,0.001,3,-5.9,5.5,0.7,0.783,0.29,0.933,0.358,0.261,0.611,0.754,0.242,0.917,0.321,0.209,0.579,0.722,0.158,0.9,0.214,0.078,0.529
poly,10,2,0.001,4,-6.4,7.1,1.7,0.792,0.15,0.988,0.236,0.258,0.569,0.754,0.042,0.98,0.076,0.07,0.511,0.747,0.0,0.983,0.0,-0.064,0.492
poly,10,3,0.1,0,-14.1,9.5,-0.0,0.805,0.318,0.954,0.422,0.365,0.636,0.762,0.337,0.897,0.401,0.271,0.617,0.797,0.421,0.917,0.5,0.389,0.669
poly,10,3,0.1,1,-5.6,3.7,0.5,0.799,0.195,0.983,0.3,0.315,0.589,0.759,0.2,0.937,0.287,0.204,0.568,0.747,0.211,0.917,0.286,0.171,0.564
poly,10,3,0.1,2,-7.1,4.3,1.1,0.802,0.154,1.0,0.25,0.305,0.577,0.772,0.147,0.97,0.237,0.221,0.559,0.747,0.105,0.95,0.167,0.097,0.528
