activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(200,40)",0.001,0.804,0.378,0.916,0.425,0.323,0.647,0.879,0.782,0.905,0.727,0.656,0.843,0.906,0.909,0.905,0.8,0.749,0.907
relu,"(200,40)",0.0001,0.804,0.378,0.916,0.422,0.319,0.647,0.887,0.764,0.919,0.735,0.666,0.841,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(225,45)",0.1,0.79,0.517,0.861,0.494,0.374,0.689,0.796,0.709,0.819,0.591,0.483,0.764,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(225,45)",0.01,0.775,0.422,0.867,0.424,0.294,0.645,0.834,0.782,0.848,0.657,0.565,0.815,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(225,45)",0.001,0.804,0.4,0.909,0.444,0.344,0.655,0.845,0.709,0.881,0.65,0.557,0.795,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(225,45)",0.0001,0.804,0.35,0.921,0.423,0.328,0.636,0.853,0.709,0.89,0.661,0.573,0.8,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(250,50)",0.1,0.775,0.306,0.898,0.34,0.225,0.602,0.815,0.618,0.867,0.58,0.469,0.742,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(250,50)",0.01,0.78,0.422,0.873,0.429,0.299,0.648,0.86,0.818,0.871,0.705,0.628,0.845,0.868,0.909,0.857,0.741,0.677,0.883
relu,"(250,50)",0.001,0.795,0.353,0.909,0.408,0.317,0.631,0.875,0.764,0.905,0.714,0.641,0.834,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(250,50)",0.0001,0.794,0.35,0.909,0.409,0.316,0.63,0.872,0.745,0.905,0.703,0.627,0.825,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(275,55)",0.1,0.761,0.35,0.867,0.382,0.24,0.609,0.808,0.673,0.843,0.588,0.474,0.758,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(275,55)",0.01,0.771,0.375,0.873,0.392,0.257,0.624,0.849,0.8,0.862,0.678,0.598,0.831,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(275,55)",0.001,0.79,0.375,0.898,0.425,0.306,0.636,0.868,0.764,0.895,0.696,0.622,0.829,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(275,55)",0.0001,0.804,0.375,0.916,0.443,0.342,0.645,0.857,0.727,0.89,0.674,0.588,0.809,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(300,60)",0.1,0.756,0.272,0.88,0.277,0.161,0.576,0.804,0.4,0.91,0.405,0.32,0.655,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(300,60)",0.01,0.756,0.397,0.849,0.394,0.244,0.623,0.857,0.818,0.867,0.705,0.625,0.842,0.849,0.636,0.905,0.636,0.541,0.771
relu,"(300,60)",0.001,0.795,0.328,0.916,0.393,0.285,0.622,0.891,0.8,0.914,0.75,0.687,0.857,0.906,0.818,0.929,0.783,0.724,0.873
relu,"(300,60)",0.0001,0.799,0.328,0.922,0.402,0.3,0.625,0.887,0.764,0.919,0.737,0.667,0.841,0.906,0.818,0.929,0.783,0.724,0.873
relu,"(25,12)",0.1,0.771,0.444,0.855,0.432,0.295,0.65,0.792,0.673,0.824,0.563,0.445,0.748,0.811,0.818,0.81,0.643,0.545,0.814
relu,"(25,12)",0.01,0.795,0.35,0.91,0.409,0.296,0.63,0.808,0.582,0.867,0.548,0.432,0.724,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(25,12)",0.001,0.804,0.347,0.921,0.416,0.32,0.634,0.804,0.473,0.89,0.484,0.371,0.682,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(25,12)",0.0001,0.828,0.325,0.958,0.436,0.391,0.641,0.808,0.418,0.91,0.468,0.364,0.664,0.755,0.182,0.905,0.235,0.111,0.543
relu,"(50,25)",0.1,0.737,0.417,0.819,0.393,0.232,0.618,0.804,0.745,0.819,0.61,0.501,0.782,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(50,25)",0.01,0.79,0.4,0.891,0.44,0.315,0.646,0.853,0.727,0.886,0.669,0.584,0.806,0.811,0.818,0.81,0.643,0.545,0.814
relu,"(50,25)",0.001,0.775,0.381,0.88,0.397,0.266,0.63,0.857,0.673,0.905,0.655,0.571,0.789,0.792,0.636,0.833,0.56,0.432,0.735
relu,"(50,25)",0.0001,0.795,0.356,0.91,0.401,0.293,0.633,0.849,0.673,0.895,0.645,0.557,0.784,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(75,37)",0.1,0.756,0.397,0.849,0.4,0.249,0.623,0.826,0.782,0.838,0.647,0.555,0.81,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(75,37)",0.01,0.775,0.375,0.879,0.4,0.267,0.627,0.879,0.836,0.89,0.741,0.674,0.863,0.906,0.909,0.905,0.8,0.749,0.907
relu,"(75,37)",0.001,0.804,0.375,0.916,0.432,0.326,0.645,0.879,0.818,0.895,0.737,0.667,0.857,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(75,37)",0.0001,0.818,0.375,0.934,0.442,0.357,0.654,0.875,0.8,0.895,0.727,0.652,0.848,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(100,50)",0.1,0.756,0.378,0.855,0.371,0.23,0.617,0.838,0.709,0.871,0.634,0.545,0.79,0.774,0.727,0.786,0.571,0.446,0.756
relu,"(100,50)",0.01,0.795,0.4,0.898,0.43,0.314,0.649,0.845,0.8,0.857,0.683,0.598,0.829,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(100,50)",0.001,0.814,0.4,0.922,0.457,0.366,0.661,0.845,0.636,0.9,0.625,0.531,0.768,0.906,0.727,0.952,0.762,0.704,0.84
relu,"(100,50)",0.0001,0.809,0.378,0.922,0.438,0.345,0.65,0.845,0.545,0.924,0.587,0.5,0.735,0.906,0.727,0.952,0.762,0.704,0.84
relu,"(125,62)",0.1,0.776,0.464,0.855,0.459,0.322,0.659,0.804,0.745,0.819,0.608,0.498,0.782,0.755,0.636,0.786,0.519,0.373,0.711
relu,"(125,62)",0.01,0.809,0.422,0.909,0.462,0.368,0.666,0.834,0.709,0.867,0.629,0.536,0.788,0.925,0.909,0.929,0.833,0.79,0.919
relu,"(125,62)",0.001,0.795,0.328,0.916,0.395,0.289,0.622,0.864,0.709,0.905,0.683,0.603,0.807,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(125,62)",0.0001,0.814,0.35,0.934,0.436,0.35,0.642,0.86,0.636,0.919,0.648,0.568,0.778,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(150,75)",0.1,0.732,0.328,0.837,0.333,0.167,0.582,0.77,0.545,0.829,0.5,0.356,0.687,0.698,0.909,0.643,0.556,0.448,0.776
relu,"(150,75)",0.01,0.761,0.372,0.861,0.39,0.25,0.617,0.838,0.764,0.857,0.653,0.563,0.81,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(150,75)",0.001,0.795,0.303,0.922,0.387,0.3,0.612,0.857,0.691,0.9,0.659,0.574,0.795,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(150,75)",0.0001,0.799,0.303,0.928,0.392,0.312,0.615,0.857,0.673,0.905,0.655,0.57,0.789,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(175,87)",0.1,0.775,0.375,0.88,0.4,0.268,0.627,0.796,0.545,0.862,0.519,0.396,0.704,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(175,87)",0.01,0.78,0.353,0.891,0.392,0.267,0.622,0.83,0.745,0.852,0.644,0.544,0.799,0.792,0.909,0.762,0.645,0.561,0.835
relu,"(175,87)",0.001,0.785,0.328,0.904,0.38,0.262,0.616,0.864,0.745,0.895,0.687,0.608,0.82,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(175,87)",0.0001,0.78,0.328,0.898,0.368,0.246,0.613,0.834,0.618,0.89,0.6,0.5,0.754,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(200,100)",0.1,0.775,0.378,0.879,0.396,0.267,0.628,0.808,0.691,0.838,0.599,0.486,0.765,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(200,100)",0.01,0.756,0.331,0.867,0.346,0.204,0.599,0.86,0.764,0.886,0.692,0.611,0.825,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(200,100)",0.001,0.828,0.397,0.939,0.483,0.419,0.668,0.868,0.764,0.895,0.705,0.628,0.829,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(200,100)",0.0001,0.828,0.375,0.945,0.46,0.399,0.66,0.868,0.727,0.905,0.691,0.612,0.816,0.906,0.818,0.929,0.783,0.724,0.873
relu,"(225,112)",0.1,0.728,0.228,0.855,0.227,0.082,0.542,0.789,0.418,0.886,0.389,0.29,0.652,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(225,112)",0.01,0.785,0.444,0.873,0.452,0.322,0.659,0.838,0.727,0.867,0.648,0.551,0.797,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(225,112)",0.001,0.78,0.375,0.885,0.411,0.281,0.63,0.853,0.673,0.9,0.654,0.563,0.786,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(225,112)",0.0001,0.785,0.35,0.897,0.4,0.28,0.624,0.842,0.618,0.9,0.617,0.518,0.759,0.849,0.636,0.905,0.636,0.541,0.771
relu,"(250,125)",0.1,0.789,0.375,0.897,0.419,0.319,0.636,0.808,0.764,0.819,0.625,0.521,0.791,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(250,125)",0.01,0.785,0.419,0.879,0.437,0.319,0.649,0.845,0.782,0.862,0.674,0.589,0.822,0.887,1.0,0.857,0.786,0.745,0.929
relu,"(250,125)",0.001,0.79,0.375,0.897,0.419,0.3,0.636,0.857,0.8,0.871,0.696,0.615,0.836,0.849,0.909,0.833,0.714,0.645,0.871
relu,"(250,125)",0.0001,0.785,0.303,0.91,0.364,0.253,0.606,0.857,0.782,0.876,0.688,0.607,0.829,0.868,0.909,0.857,0.741,0.677,0.883
relu,"(275,137)",0.1,0.766,0.522,0.831,0.464,0.326,0.677,0.808,0.727,0.829,0.607,0.498,0.778,0.83,0.909,0.81,0.69,0.615,0.859
relu,"(275,137)",0.01,0.775,0.397,0.873,0.414,0.279,0.635,0.845,0.764,0.867,0.67,0.58,0.815,0.849,0.909,0.833,0.714,0.645,0.871
relu,"(275,137)",0.001,0.8,0.353,0.916,0.413,0.307,0.634,0.875,0.782,0.9,0.717,0.646,0.841,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(275,137)",0.0001,0.804,0.353,0.922,0.419,0.317,0.637,0.872,0.764,0.9,0.706,0.632,0.832,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(300,150)",0.1,0.771,0.406,0.867,0.391,0.26,0.636,0.804,0.745,0.819,0.613,0.505,0.782,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(300,150)",0.01,0.775,0.417,0.867,0.426,0.289,0.642,0.849,0.745,0.876,0.668,0.58,0.811,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(300,150)",0.001,0.799,0.353,0.916,0.411,0.307,0.634,0.887,0.782,0.914,0.738,0.673,0.848,0.925,0.818,0.952,0.818,0.771,0.885
relu,"(300,150)",0.0001,0.804,0.328,0.928,0.407,0.314,0.628,0.879,0.727,0.919,0.71,0.641,0.823,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(25,25)",0.1,0.771,0.397,0.867,0.414,0.278,0.632,0.823,0.745,0.843,0.635,0.533,0.794,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(25,25)",0.01,0.838,0.442,0.939,0.515,0.457,0.691,0.823,0.727,0.848,0.622,0.523,0.787,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(25,25)",0.001,0.833,0.417,0.939,0.477,0.424,0.678,0.83,0.709,0.862,0.626,0.528,0.785,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(25,25)",0.0001,0.833,0.444,0.933,0.51,0.445,0.689,0.842,0.691,0.881,0.635,0.539,0.786,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(50,50)",0.1,0.751,0.419,0.837,0.409,0.253,0.628,0.815,0.727,0.838,0.616,0.51,0.783,0.736,1.0,0.667,0.611,0.542,0.833
relu,"(50,50)",0.01,0.756,0.283,0.879,0.317,0.176,0.581,0.796,0.545,0.862,0.524,0.398,0.704,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(50,50)",0.001,0.799,0.286,0.934,0.363,0.271,0.61,0.819,0.491,0.905,0.529,0.422,0.698,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(50,50)",0.0001,0.804,0.308,0.934,0.394,0.306,0.621,0.83,0.436,0.933,0.514,0.429,0.685,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(75,75)",0.1,0.761,0.442,0.843,0.427,0.277,0.642,0.811,0.655,0.852,0.592,0.482,0.753,0.811,0.818,0.81,0.643,0.545,0.814
relu,"(75,75)",0.01,0.775,0.394,0.873,0.412,0.281,0.634,0.857,0.818,0.867,0.701,0.622,0.842,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(75,75)",0.001,0.819,0.353,0.94,0.438,0.36,0.646,0.845,0.745,0.871,0.666,0.576,0.808,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(75,75)",0.0001,0.809,0.328,0.934,0.411,0.325,0.631,0.86,0.764,0.886,0.692,0.609,0.825,0.868,0.818,0.881,0.72,0.643,0.85
