Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,10,2,0.1,1,-2.1,3.6,0.2,0.973,0.945,1.0,0.971,0.948,0.972,0.9,0.675,1.0,0.804,0.768,0.838,0.923,0.75,1.0,0.857,0.822,0.875
poly,10,2,0.1,2,-2.2,3.3,0.2,0.966,0.945,0.987,0.964,0.934,0.966,0.908,0.7,1.0,0.822,0.786,0.85,0.923,0.75,1.0,0.857,0.822,0.875
poly,10,2,0.1,3,-2.2,3.2,0.2,0.96,0.945,0.973,0.958,0.921,0.959,0.908,0.7,1.0,0.822,0.786,0.85,0.923,0.75,1.0,0.857,0.822,0.875
poly,10,2,0.1,4,-2.2,3.0,0.3,0.953,0.918,0.987,0.95,0.908,0.952,0.908,0.7,1.0,0.822,0.786,0.85,0.885,0.625,1.0,0.769,0.732,0.812
poly,10,2,0.01,0,-1.3,4.4,-0.1,0.913,0.92,0.907,0.914,0.83,0.913,0.8,0.375,0.989,0.532,0.513,0.682,0.808,0.375,1.0,0.545,0.542,0.688
poly,10,2,0.01,1,-2.4,3.3,0.4,0.939,0.918,0.96,0.937,0.88,0.939,0.877,0.675,0.967,0.771,0.707,0.821,0.885,0.625,1.0,0.769,0.732,0.812
poly,10,2,0.01,2,-2.8,4.2,0.1,0.919,0.946,0.893,0.922,0.843,0.92,0.823,0.725,0.867,0.719,0.596,0.796,0.808,0.625,0.889,0.667,0.535,0.757
poly,10,2,0.01,3,-3.0,5.0,-0.1,0.912,0.946,0.879,0.915,0.829,0.912,0.769,0.725,0.789,0.662,0.497,0.757,0.808,0.625,0.889,0.667,0.535,0.757
poly,10,2,0.01,4,-3.0,5.8,0.2,0.913,0.932,0.893,0.915,0.829,0.913,0.8,0.675,0.856,0.679,0.539,0.765,0.808,0.625,0.889,0.667,0.535,0.757
poly,10,2,0.001,0,-0.7,0.7,-0.2,0.567,0.347,0.8,0.341,0.211,0.573,0.638,0.275,0.8,0.227,0.18,0.538,0.731,0.125,1.0,0.222,0.3,0.562
poly,10,2,0.001,1,-2.9,3.2,0.0,0.912,0.878,0.947,0.908,0.827,0.912,0.815,0.775,0.833,0.724,0.605,0.804,0.846,0.875,0.833,0.778,0.672,0.854
