Index,position,attribute,F_val,p_val
1297,4764,BBS5,1.0893563,0.2975833
16366,4765,WIPF1,1.088693,0.29773015
8649,4766,MMP25,1.0884728,0.2977789
6985,4767,ITGA8,1.0881504,0.2978503
14746,4768,TEF,1.0879143,0.2979026
4436,4769,EMP3,1.0878038,0.2979271
8089,4770,LY6G6C,1.0877826,0.29793182
15,4771,AAK1,1.087502,0.29799402
5198,4772,FOLR1,1.0870959,0.29808405
12533,4773,RPAP2,1.0868075,0.298148
11600,4774,PRSS1,1.0866817,0.2981759
2326,4775,CD40,1.0863383,0.2982521
13560,4776,SLC37A4,1.0859945,0.29832843
1115,4777,ATP13A5,1.0859259,0.29834366
16564,4778,ZC3H10,1.0855684,0.29842302
4017,4779,DNMT3B,1.085563,0.29842424
3766,4780,DEFB136,1.0855324,0.29843104
4877,4781,FAM90A1,1.0854521,0.29844886
13593,4782,SLC43A2,1.0850165,0.29854563
9355,4783,NFIX,1.0848694,0.29857832
11222,4784,PON2,1.0846907,0.29861805
1577,4785,C11orf80,1.084264,0.2987129
3119,4786,COX6A2,1.084075,0.29875493
6613,4787,IFFO1,1.0839622,0.29878002
758,4788,APOBEC2,1.0838187,0.29881194
1500,4789,BSG,1.083813,0.29881322
434,4790,AKAP6,1.0834423,0.2988957
5618,4791,GJA10,1.0833243,0.29892194
443,4792,AKNAD1,1.0831975,0.2989502
16481,4793,YIPF6,1.0831598,0.29895857
2934,4794,CNDP1,1.0830148,0.29899085
3029,4795,COL2A1,1.0828823,0.29902035
7277,4796,KIAA1586,1.0827495,0.2990499
6514,4797,HSPA2,1.0826685,0.29906794
9485,4798,NMU,1.0825828,0.29908705
1423,4799,BMP6,1.0815809,0.2993103
5768,4800,GOLGA4,1.0809846,0.29944327
7163,4801,KCNJ9,1.0809267,0.2994562
2451,4802,CDK2AP2,1.0808163,0.29948083
14499,4803,TACC2,1.0805591,0.2995382
2959,4804,CNOT2,1.0804868,0.29955435
1125,4805,ATP2A2,1.0803584,0.29958302
7320,4806,KIF5B,1.0800798,0.29964522
14376,4807,SUMF2,1.0798727,0.29969144
1228,4808,B3GNT4,1.0792285,0.29983532
10093,4809,OR52E4,1.0788599,0.2999177
11673,4810,PSMB9,1.0786096,0.29997367
5671,4811,GLP2R,1.0785341,0.29999053
9331,4812,NEUROD4,1.078066,0.30009523
4045,4813,DOLPP1,1.0777999,0.30015478
10930,4814,PIWIL1,1.077452,0.30023265
7903,4815,LPAR2,1.0773213,0.30026188
12211,4816,RELL2,1.0769658,0.3003415
16168,4817,VENTX,1.0769297,0.30034956
15722,4818,TTC9,1.0769129,0.30035332
7721,4819,LDB3,1.0767325,0.30039373
5585,4820,GGTLC2,1.0764736,0.30045173
3663,4821,DDAH2,1.0764537,0.3004562
14361,4822,SULF2,1.0762006,0.3005129
11870,4823,R3HDM1,1.0760251,0.30055222
9612,4824,NR3C2,1.0758563,0.30059007
15333,4825,TNS1,1.0757557,0.30061263
13738,4826,SMARCB1,1.0755398,0.30066103
3358,4827,CTCFL,1.0754228,0.30068728
6054,4828,GTF2H2,1.0753648,0.30070028
3228,4829,CRLF1,1.074262,0.30094773
8984,4830,MXRA7,1.0741996,0.30096176
1084,4831,ATG3,1.0739954,0.3010076
79,4832,ABHD14B,1.073745,0.30106384
141,4833,ACO2,1.0735486,0.30110797
3482,4834,CYFIP1,1.0734699,0.30112565
7730,4835,LDLRAD2,1.0732677,0.3011711
6278,4836,HINT1,1.0731336,0.30120122
16588,4837,ZCCHC17,1.0727823,0.3012802
2821,4838,CLDN24,1.0724036,0.30136538
12721,4839,RTN3,1.0723492,0.3013776
11027,4840,PLEKHA5,1.0721511,0.30142215
11767,4841,PTPN1,1.0720502,0.30144486
5483,4842,GATAD2B,1.0719094,0.30147654
2762,4843,CILP,1.0718192,0.30149683
8240,4844,MAP2K2,1.0714917,0.30157053
12707,4845,RSPO4,1.0713261,0.30160782
5957,4846,GREB1L,1.0712054,0.30163503
8372,4847,MCEE,1.0710407,0.3016721
9668,4848,NT5C1B,1.070744,0.30173892
13675,4849,SLC9A4,1.0704291,0.30180988
5859,4850,GPR148,1.0702103,0.3018592
14036,4851,SPINK5,1.0702083,0.30185965
5621,4852,GJA5,1.0701667,0.30186903
12295,4853,RGS3,1.0700681,0.30189124
4854,4854,FAM71F2,1.0700494,0.30189547
4675,4855,F2R,1.0700468,0.30189607
8231,4856,MAP1A,1.0692961,0.30206534
15474,4857,TRERF1,1.0692011,0.30208677
16005,4858,UNC5D,1.0691408,0.3021004
16409,4859,WWC3,1.0690719,0.30211595
7345,4860,KLC2,1.0690451,0.302122
4312,4861,EHD2,1.0687498,0.30218863
12175,4862,RCOR1,1.0675539,0.30245873
15779,4863,TUFT1,1.0668094,0.302627
4586,4864,ESR1,1.0667112,0.30264923
10668,4865,PDSS2,1.0664822,0.30270103
4419,4866,EMCN,1.0664418,0.30271018
9580,4867,NPS,1.0663218,0.3027373
10283,4868,OTOR,1.0661267,0.30278146
5263,4869,FRAS1,1.0661153,0.30278406
1771,4870,C3orf70,1.0658673,0.30284014
10879,4871,PIH1D1,1.0658637,0.30284098
2479,4872,CDKN3,1.0655941,0.302902
12552,4873,RPL14,1.0654699,0.30293015
5641,4874,GKAP1,1.064923,0.30305398
1633,4875,C17orf64,1.0647795,0.30308652
15216,4876,TMEM97,1.0646315,0.30312005
4414,4877,ELP2,1.0646176,0.30312318
13407,4878,SLC22A23,1.0645844,0.30313072
5525,4879,GDAP1,1.0642537,0.30320567
2825,4880,CLDN5,1.0641876,0.30322066
3929,4881,DMRTC2,1.0641623,0.3032264
5743,4882,GNG4,1.063841,0.30329925
16441,4883,XPNPEP1,1.0635695,0.30336082
1832,4884,C8orf58,1.0635061,0.3033752
13809,4885,SNED1,1.0632792,0.3034267
14322,4886,STUB1,1.0631473,0.30345663
10611,4887,PDE3A,1.0631306,0.30346042
2877,4888,CLK3,1.0627762,0.30354086
14160,4889,SRSF8,1.0627011,0.30355793
11115,4890,PNISR,1.0625465,0.30359304
11206,4891,POLR3G,1.0621071,0.30369282
14187,4892,SSTR4,1.0618879,0.30374265
12431,4893,RNF133,1.0618118,0.3037599
4591,4894,ESRRB,1.0617101,0.30378303
9575,4895,NPR1,1.0613942,0.30385482
13938,4896,SPA17,1.0613279,0.3038699
2797,4897,CLCF1,1.0606543,0.3040231
1048,4898,ASTE1,1.0606526,0.30402347
2976,4899,CNTD1,1.0600303,0.3041651
