Index,position,attribute,projections,classifiers,nodes,RI
6850,10493,INPP1,109,0.0091743115,0.0091743115,0.00045791036
3174,10494,CPSF7,123,0.011382114,0.011382114,0.00045787415
5005,10495,FCGBP,105,0.017142856,0.017142856,0.00045784962
17238,10496,ZSCAN20,109,0.011009174,0.011009174,0.00045784062
674,10497,ANO8,90,0.013333334,0.013333334,0.00045782703
9752,10498,NUP85,97,0.01443299,0.01443299,0.00045781946
4986,10499,FBXO6,94,0.010638298,0.010638298,0.00045776556
13313,10500,SKIV2L,86,0.009302326,0.009302326,0.00045759685
16703,10501,ZMYM2,106,0.011320755,0.013207547,0.00045755235
8577,10502,MIF4GD,104,0.013461539,0.013461539,0.00045754085
7263,10503,KIAA0586,98,0.010204081,0.010204081,0.00045750695
1927,10504,CALM1,108,0.0129629625,0.0129629625,0.00045746873
16944,10505,ZNF507,91,0.015384615,0.015384615,0.00045741364
11664,10506,PSMB10,87,0.013793103,0.013793103,0.0004573824
13531,10507,SLC35B1,117,0.010256411,0.010256411,0.0004573768
8838,10508,MS4A1,91,0.010989011,0.010989011,0.000457187
11460,10509,PRF1,92,0.010869565,0.010869565,0.00045711422
7345,10510,KLC2,105,0.011428571,0.011428571,0.0004570151
4063,10511,DPP10,97,0.012371134,0.01443299,0.0004569947
11504,10512,PRKRIP1,120,0.011666667,0.011666667,0.00045697685
3549,10513,CYTH2,105,0.013333334,0.013333334,0.0004568431
4127,10514,DTWD2,101,0.013861386,0.013861386,0.0004568395
8434,10515,MED19,116,0.01724138,0.01724138,0.00045677053
680,10516,ANPEP,104,0.015384615,0.015384615,0.00045675508
11678,10517,PSMC4,117,0.010256411,0.010256411,0.00045670138
2458,10518,CDK5RAP2,92,0.008695652,0.008695652,0.0004566271
13241,10519,SHMT1,92,0.013043478,0.013043478,0.0004564758
16149,10520,VBP1,104,0.011538462,0.011538462,0.00045640283
8375,10521,MCF2L2,95,0.010526316,0.012631579,0.000456345
12253,10522,RFTN2,118,0.013559322,0.013559322,0.00045623735
3260,10523,CRYGS,75,0.010666667,0.010666667,0.00045614544
6311,10524,HLA_DRB1,95,0.014736842,0.014736842,0.00045586078
14754,10525,TELO2,83,0.014457831,0.014457831,0.0004557466
14262,10526,STC1,124,0.014516129,0.014516129,0.00045574582
14984,10527,TM9SF2,103,0.009708738,0.009708738,0.00045574308
6305,10528,HLA_DPB1,107,0.011214953,0.011214953,0.00045574145
12237,10529,RFC1,92,0.010869565,0.013043478,0.00045568944
2885,10530,CLNK,94,0.012765957,0.012765957,0.00045565187
6877,10531,INTS2,90,0.013333334,0.013333334,0.00045551496
973,10532,ARRDC4,94,0.012765957,0.012765957,0.00045542623
12803,10533,SAGE1,104,0.011538462,0.011538462,0.0004548308
7648,10534,LAMP5,105,0.00952381,0.00952381,0.00045480535
3042,10535,COL6A3,99,0.01010101,0.01010101,0.00045467573
15505,10536,TRIM32,99,0.01010101,0.01010101,0.00045464942
4469,10537,ENTHD1,107,0.009345794,0.009345794,0.0004545833
11807,10538,PTS,78,0.0076923077,0.0076923077,0.0004545311
11019,10539,PLD6,107,0.013084112,0.013084112,0.00045438798
8084,10540,LXN,113,0.0123893805,0.0123893805,0.0004543501
5279,10541,FRMD6,119,0.011764706,0.013445378,0.00045426073
741,10542,APEX1,98,0.012244898,0.014285714,0.00045421332
5113,10543,FICD,94,0.008510638,0.008510638,0.00045409397
4811,10544,FAM207A,82,0.009756098,0.009756098,0.00045406038
1569,10545,C11orf49,126,0.012698413,0.012698413,0.0004538955
17128,10546,ZNF746,92,0.015217391,0.017391304,0.00045386684
5381,10547,GABPB2,92,0.013043478,0.013043478,0.00045385238
6878,10548,INTS3,114,0.010526316,0.010526316,0.00045383102
8760,10549,MRPL10,116,0.010344828,0.010344828,0.00045368634
7001,10550,ITGB6,86,0.011627907,0.011627907,0.0004536482
10462,10551,PAX6,111,0.012612613,0.012612613,0.00045360354
7865,10552,LMBRD1,107,0.013084112,0.013084112,0.0004535876
5166,10553,FMN1,93,0.010752688,0.010752688,0.00045352426
3980,10554,DNAJC21,97,0.012371134,0.012371134,0.00045347723
976,10555,ARSB,79,0.010126582,0.012658228,0.0004533808
14432,10556,SYMPK,94,0.010638298,0.010638298,0.00045323904
1004,10557,ASB14,88,0.013636364,0.013636364,0.00045313415
4521,10558,EPOR,120,0.011666667,0.011666667,0.00045312935
7282,10559,KIAA1958,116,0.013793103,0.013793103,0.00045308872
6442,10560,HPS4,105,0.015238095,0.015238095,0.00045307694
9585,10561,NPTXR,102,0.011764706,0.011764706,0.00045302272
13595,10562,SLC44A1,91,0.010989011,0.010989011,0.0004528525
4904,10563,FARS2,109,0.011009174,0.011009174,0.00045284198
1268,10564,BAK1,91,0.010989011,0.010989011,0.00045282088
7931,10565,LRG1,114,0.012280702,0.012280702,0.000452818
4143,10566,DUSP11,111,0.010810811,0.010810811,0.00045277385
14275,10567,STK11,106,0.013207547,0.013207547,0.0004526408
11006,10568,PLCH1,109,0.011009174,0.011009174,0.0004526121
4249,10569,EDF1,100,0.01,0.01,0.00045259617
2142,10570,CCDC50,81,0.009876544,0.009876544,0.00045247065
11170,10571,POLE4,126,0.015873017,0.015873017,0.0004524616
8871,10572,MSRA,99,0.008080808,0.008080808,0.00045245717
11750,10573,PTH1R,117,0.011965812,0.011965812,0.00045221514
16976,10574,ZNF551,94,0.0148936175,0.0148936175,0.0004521071
5838,10575,GPM6B,108,0.011111111,0.011111111,0.00045192352
17088,10576,ZNF69,87,0.011494253,0.011494253,0.0004518637
3560,10577,DAB2IP,100,0.016,0.016,0.00045184125
11939,10578,RAB7A,101,0.00990099,0.00990099,0.00045182923
6928,10579,IREB2,97,0.010309278,0.010309278,0.00045167442
9249,10580,NDUFA8,104,0.009615385,0.009615385,0.00045163825
12670,10581,RRAS2,92,0.010869565,0.010869565,0.00045159747
376,10582,AGPS,90,0.013333334,0.013333334,0.0004515281
3676,10583,DDOST,107,0.013084112,0.013084112,0.00045145204
1060,10584,ATAD3B,106,0.013207547,0.013207547,0.00045138277
6825,10585,IMPDH1,85,0.016470589,0.016470589,0.0004513749
2611,10586,CFD,119,0.008403362,0.008403362,0.00045115728
2621,10587,CFL2,98,0.014285714,0.014285714,0.00045106758
3788,10588,DEPDC5,83,0.014457831,0.014457831,0.00045106394
5092,10589,FGFR3,98,0.012244898,0.014285714,0.00045093978
2425,10590,CDH5,92,0.010869565,0.010869565,0.00045079555
3480,10591,CYC1,108,0.009259259,0.009259259,0.0004507592
9441,10592,NLGN2,94,0.008510638,0.008510638,0.0004507434
10818,10593,PHKG2,89,0.011235955,0.011235955,0.00045069377
6484,10594,HSD17B3,101,0.013861386,0.013861386,0.00045059138
